"neighborhood","crimetype","occurrence","family.with.kids.severity.","Student.severity.","elderly.severity."
"COLUMBIA CITY","THEFT-BUILDING",161,5,4,5
"COLUMBIA CITY","THEFT-SHOPLIFT",60,1,2,1
"COLUMBIA CITY","TRESPASS",63,4,2,5
"COLUMBIA CITY","WEAPON",48,9,8,9
"COMMERCIAL DUWAMISH","AGGRAVATED ASSAULT",13,7,7,8
"COMMERCIAL DUWAMISH","AGGRAVATED ASSAULT-DV",7,5,5,6
"COMMERCIAL DUWAMISH","ARSON",1,8,8,10
"COMMERCIAL DUWAMISH","BURGLARY-COMMERCIAL",32,1,1,3
"COMMERCIAL DUWAMISH","BURGLARY-COMMERCIAL-SECURE PARKING",1,1,1,3
"COMMERCIAL DUWAMISH","CAR PROWL",99,5,5,5
"COMMERCIAL DUWAMISH","DUI",67,6,7,5
"COMMERCIAL DUWAMISH","FAMILY OFFENSE-NONVIOLENT",2,3,4,4
"COMMERCIAL DUWAMISH","MOTOR VEHICLE THEFT",30,1,2,2
"COMMERCIAL DUWAMISH","NARCOTIC",7,10,9,8
"COMMERCIAL DUWAMISH","ROBBERY-STREET",3,7,7,9
"COMMERCIAL DUWAMISH","SEX OFFENSE-OTHER",2,8,6,6
"COMMERCIAL DUWAMISH","THEFT-ALL OTHER",37,3,2,3
"COMMERCIAL DUWAMISH","THEFT-BICYCLE",6,2,4,2
"COMMERCIAL DUWAMISH","THEFT-BUILDING",1,5,4,5
"COMMERCIAL DUWAMISH","THEFT-SHOPLIFT",1,1,2,1
"COMMERCIAL DUWAMISH","TRESPASS",5,4,2,5
"COMMERCIAL DUWAMISH","WEAPON",4,9,8,9
"COMMERCIAL HARBOR ISLAND","AGGRAVATED ASSAULT",9,7,7,8
"COMMERCIAL HARBOR ISLAND","AGGRAVATED ASSAULT-DV",1,5,5,6
"COMMERCIAL HARBOR ISLAND","BURGLARY-COMMERCIAL",38,1,1,3
"COMMERCIAL HARBOR ISLAND","BURGLARY-COMMERCIAL-SECURE PARKING",1,1,1,3
"COMMERCIAL HARBOR ISLAND","BURGLARY-RESIDENTIAL",1,8,7,4
"COMMERCIAL HARBOR ISLAND","CAR PROWL",25,5,5,5
"COMMERCIAL HARBOR ISLAND","DUI",23,6,7,5
"COMMERCIAL HARBOR ISLAND","MOTOR VEHICLE THEFT",20,1,2,2
"COMMERCIAL HARBOR ISLAND","NARCOTIC",4,10,9,8
"COMMERCIAL HARBOR ISLAND","SEX OFFENSE-OTHER",1,8,6,6
"COMMERCIAL HARBOR ISLAND","THEFT-ALL OTHER",31,3,2,3
"COMMERCIAL HARBOR ISLAND","THEFT-BICYCLE",1,2,4,2
"COMMERCIAL HARBOR ISLAND","THEFT-BUILDING",9,5,4,5
"COMMERCIAL HARBOR ISLAND","TRESPASS",13,4,2,5
"DOWNTOWN COMMERCIAL","",13,NA,NA,NA
"DOWNTOWN COMMERCIAL","AGGRAVATED ASSAULT",1751,7,7,8
"DOWNTOWN COMMERCIAL","AGGRAVATED ASSAULT-DV",201,5,5,6
"DOWNTOWN COMMERCIAL","ARSON",36,8,8,10
"DOWNTOWN COMMERCIAL","BURGLARY-COMMERCIAL",1802,1,1,3
"DOWNTOWN COMMERCIAL","BURGLARY-COMMERCIAL-SECURE PARKING",128,1,1,3
"DOWNTOWN COMMERCIAL","BURGLARY-RESIDENTIAL",217,8,7,4
"DOWNTOWN COMMERCIAL","BURGLARY-RESIDENTIAL-SECURE PARKING",129,8,7,4
"DOWNTOWN COMMERCIAL","CAR PROWL",12295,5,5,5
